"","game_id","season","week","team","opponent","touchdowns","point_diff2","winner"
"1782","2016_13_DAL_MIN",2016,13,"MIN","DAL",1,-2,"DAL"
"1783","2016_13_DEN_JAX",2016,13,"JAX","DEN",1,-10,"DEN"
"1784","2016_13_DET_NO",2016,13,"NO","DET",1,-15,"DET"
"1785","2016_13_HOU_GB",2016,13,"GB","HOU",3,8,"GB"
"1786","2016_13_IND_NYJ",2016,13,"NYJ","IND",1,-31,"IND"
"1787","2016_13_KC_ATL",2016,13,"ATL","KC",3,-1,"KC"
"1788","2016_13_LA_NE",2016,13,"NE","LA",2,16,"NE"
"1789","2016_13_MIA_BAL",2016,13,"BAL","MIA",5,32,"BAL"
"1790","2016_13_NYG_PIT",2016,13,"PIT","NYG",2,10,"PIT"
"1791","2016_13_PHI_CIN",2016,13,"CIN","PHI",3,18,"CIN"
"1792","2016_13_SF_CHI",2016,13,"CHI","SF",3,20,"CHI"
"1793","2016_13_TB_SD",2016,13,"LAC","TB",3,-7,"TB"
"1794","2016_13_WAS_ARI",2016,13,"ARI","WAS",4,8,"ARI"
"1795","2016_14_ARI_MIA",2016,14,"MIA","ARI",3,3,"MIA"
"1796","2016_14_ATL_LA",2016,14,"LA","ATL",2,-28,"ATL"
"1797","2016_14_BAL_NE",2016,14,"NE","BAL",4,7,"NE"
"1798","2016_14_CHI_DET",2016,14,"DET","CHI",2,3,"DET"
"1799","2016_14_CIN_CLE",2016,14,"CLE","CIN",1,-13,"CIN"
"1800","2016_14_DAL_NYG",2016,14,"NYG","DAL",1,3,"NYG"
"1801","2016_14_DEN_TEN",2016,14,"TEN","DEN",1,3,"TEN"
"1802","2016_14_HOU_IND",2016,14,"IND","HOU",2,-5,"HOU"
"1803","2016_14_MIN_JAX",2016,14,"JAX","MIN",1,-9,"MIN"
"1804","2016_14_NO_TB",2016,14,"TB","NO",1,5,"TB"
"1805","2016_14_NYJ_SF",2016,14,"SF","NYJ",2,-6,"NYJ"
"1806","2016_14_OAK_KC",2016,14,"KC","LV",3,8,"KC"
