"","game_id","team","point_diff","week","season"
"400","2011_10_BUF_DAL","DAL",37,10,2011
"401","2011_10_DEN_KC","KC",-7,10,2011
"402","2011_10_DET_CHI","CHI",24,10,2011
"403","2011_10_HOU_TB","TB",-28,10,2011
"404","2011_10_JAX_IND","IND",-14,10,2011
"405","2011_10_MIN_GB","GB",38,10,2011
"406","2011_10_NE_NYJ","NYJ",-21,10,2011
"407","2011_10_NO_ATL","ATL",-3,10,2011
"408","2011_10_NYG_SF","SF",7,10,2011
"409","2011_10_OAK_SD","LAC",-7,10,2011
"410","2011_10_PIT_CIN","CIN",-7,10,2011
"411","2011_10_STL_CLE","CLE",-1,10,2011
"412","2011_10_TEN_CAR","CAR",-27,10,2011
"413","2011_10_WAS_MIA","MIA",11,10,2011
"414","2011_11_ARI_SF","SF",16,11,2011
"415","2011_11_BUF_MIA","MIA",27,11,2011
"416","2011_11_CAR_DET","DET",14,11,2011
"417","2011_11_CIN_BAL","BAL",7,11,2011
"418","2011_11_DAL_WAS","WAS",-3,11,2011
"419","2011_11_JAX_CLE","CLE",4,11,2011
"420","2011_11_KC_NE","NE",31,11,2011
"421","2011_11_NYJ_DEN","DEN",4,11,2011
"422","2011_11_OAK_MIN","MIN",-6,11,2011
"423","2011_11_PHI_NYG","NYG",-7,11,2011
"424","2011_11_SD_CHI","CHI",11,11,2011
"425","2011_11_SEA_STL","LA",-17,11,2011
"426","2011_11_TB_GB","GB",9,11,2011
"427","2011_11_TEN_ATL","ATL",6,11,2011
"428","2011_12_ARI_STL","LA",-3,12,2011
"429","2011_12_BUF_NYJ","NYJ",4,12,2011
"430","2011_12_CAR_IND","IND",-8,12,2011
"431","2011_12_CHI_OAK","LV",5,12,2011
"432","2011_12_CLE_CIN","CIN",3,12,2011
"433","2011_12_DEN_SD","LAC",-3,12,2011
"434","2011_12_GB_DET","DET",-12,12,2011
"435","2011_12_HOU_JAX","JAX",-7,12,2011
"436","2011_12_MIA_DAL","DAL",1,12,2011
"437","2011_12_MIN_ATL","ATL",10,12,2011
"438","2011_12_NE_PHI","PHI",-18,12,2011
"439","2011_12_NYG_NO","NO",25,12,2011
"440","2011_12_PIT_KC","KC",-4,12,2011
"441","2011_12_SF_BAL","BAL",10,12,2011
"442","2011_12_TB_TEN","TEN",6,12,2011
"443","2011_12_WAS_SEA","SEA",-6,12,2011
"444","2011_13_ATL_HOU","HOU",7,13,2011
"445","2011_13_BAL_CLE","CLE",-14,13,2011
"446","2011_13_CAR_TB","TB",-19,13,2011
"447","2011_13_CIN_PIT","PIT",28,13,2011
"448","2011_13_DAL_ARI","ARI",6,13,2011
"449","2011_13_DEN_MIN","MIN",-3,13,2011
"450","2011_13_DET_NO","NO",14,13,2011
"451","2011_13_GB_NYG","NYG",-3,13,2011
"452","2011_13_IND_NE","NE",7,13,2011
"453","2011_13_KC_CHI","CHI",-7,13,2011
"454","2011_13_NYJ_WAS","WAS",-15,13,2011
"455","2011_13_OAK_MIA","MIA",20,13,2011
"456","2011_13_PHI_SEA","SEA",17,13,2011
"457","2011_13_SD_JAX","JAX",-24,13,2011
"458","2011_13_STL_SF","SF",26,13,2011
"459","2011_13_TEN_BUF","BUF",-6,13,2011
"460","2011_14_ATL_CAR","CAR",-8,14,2011
"461","2011_14_BUF_SD","LAC",27,14,2011
"462","2011_14_CHI_DEN","DEN",3,14,2011
"463","2011_14_CLE_PIT","PIT",11,14,2011
"464","2011_14_HOU_CIN","CIN",-1,14,2011
"465","2011_14_IND_BAL","BAL",14,14,2011
"466","2011_14_KC_NYJ","NYJ",27,14,2011
"467","2011_14_MIN_DET","DET",6,14,2011
"468","2011_14_NE_WAS","WAS",-7,14,2011
"469","2011_14_NO_TEN","TEN",-5,14,2011
"470","2011_14_NYG_DAL","DAL",-3,14,2011
"471","2011_14_OAK_GB","GB",30,14,2011
"472","2011_14_PHI_MIA","MIA",-16,14,2011
"473","2011_14_SF_ARI","ARI",2,14,2011
"474","2011_14_STL_SEA","SEA",17,14,2011
"475","2011_14_TB_JAX","JAX",27,14,2011
"476","2011_15_BAL_SD","LAC",20,15,2011
"477","2011_15_CAR_HOU","HOU",-15,15,2011
"478","2011_15_CIN_STL","LA",-7,15,2011
"479","2011_15_CLE_ARI","ARI",3,15,2011
